fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220405,123,19,17.5940972222,7.7723685,0,2000,0,1.60430448796,0,0.784515886437,0,0,0,0,62.0765149409,69.4425954943,69.3473970301,65.2095675064,0.886920249905,1,1,0.680447614934,0.456861772487,1.82744708995,9.66480043417,1185.88371396,331.458909581,0.279503720035,0.909951751557,92,2.41990316248,1,216.433509766,0
20220406,124,19,21.3221014493,7.491906,0,2000,0,1.58301900742,0,0.615153260784,0,0,0,0,61.0656069282,69.0468407424,68.9516422782,64.8138127545,0.879593009011,1,1,0.655616221789,0.634385783299,2.5375431332,12.463942693,1198.34765665,362.307591605,0.302339299946,1.01573589782,93,2.47493375961,1,236.57684678,0
20220407,125,19,20.651590106,5.048244,0,2000,0,0.792713328899,0,0.281328260203,0,0,0,0,60.5861003358,68.8486624102,68.753463946,64.6156344223,0.876012870381,1,1,0.630784828643,0.602456671715,2.40982668686,7.67374541014,1206.02140206,391.048017836,0.324246333578,0.741149097224,94,1.28628917954,1,255.343551012,0
20220408,126,19,21.6377224199,6.970995,0,2000,0,1.4096420694,0,0.482771903729,0,0,0,0,59.7509179147,68.4962518928,68.4010534286,64.2632239049,0.869704823804,1,1,0.605953435497,0.64941535333,2.59766141332,10.9727773394,1216.9941794,419.757862157,0.344913615251,1.1480243398,95,2.37738632045,1,274.090286103,0
20220409,127,19,21.6814035088,7.6241115,0,2000,0,1.31354511747,0,0.44702634365,0,0,0,0,58.9755052917,68.1678656135,68.0726671493,63.9348376256,0.863836252267,1,1,0.581122042351,0.65149540518,2.60598162072,11.5459038449,1228.54008325,447.318312762,0.364105590743,0.971282877421,96,2.30609868842,1,292.086498855,0
20220410,128,19,23.0679442509,4.8845565,1.3,2000,0,0.740274373058,1.235,0.254918925982,0,0,0,0,59.7705177724,67.9827970202,67.887598556,63.7497690323,0.864635607936,1,1,0.556290649206,0.717521154803,2.87008461921,7.79868894569,1236.33877219,471.870686903,0.381667790023,0.932555176284,97,1.355181651,1,308.118520787,0
20220411,129,19,18.590459364,4.4965125,19.71,2000,0,0.57533409597,18.7245,0.202970417585,3.14821383086,0,0,0,75,67.8389634962,67.743765032,63.6059355083,0.913962213455,1,1,0.53145925606,0.50430758876,2.01723035504,4.8206019829,1241.15937418,493.390618632,0.397523983542,0.613671670893,98,1.10024777475,1,322.170441613,0
20220412,130,19,15.2681818182,4.7224485,6.71,2000,0,0.606414069184,6.3745,0.625621244331,5.59727523837,0,0,0,75,70.8355738098,67.5921615147,63.454331991,0.922940224385,1,1,0.506627862914,0.346103896104,1.38441558442,3.31224749961,1244.47162168,512.307961344,0.411667050032,0.952579151153,99,1.21386793595,1,334.522943718,0
20220413,131,19,15.3487544484,7.7039235,0.2,2000,0,1.04238123405,0.19,1.18789201805,0,1.17225373963,0,0,73.7415126734,75,67.3315662062,63.1937366825,0.930889385207,1,1,0.481796469769,0.349940688019,1.39976275208,5.19553180532,1249.66715348,530.041384708,0.424146048195,1.10676018268,100,2.18881804103,1,346.102379201,0
20220414,132,19,15.3115789474,6.288111,0,2000,0,0.841015382048,0,1.05853573615,0,0,0,0,72.4727230918,74.7897461545,68.2935661003,62.983482837,0.928465060612,1,1,0.456965076623,0.348170426065,1.39268170426,4.00179723905,1253.66895072,545.4110312,0.435051877839,1.01636032129,101,1.85700242962,1,356.138333698,0
