fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220503,151,9,12.4887719298,5.7878145,0,2000,0,1.12187316149,0,0.190874563492,0,0,0,0,70.0012502669,72.4520301821,62.7665553752,62.4048357675,0.892082238639,1,1,0.829452295616,0.213751044277,0.855004177109,4.10463225332,712.666792048,103.299738815,0.144948158055,0.800720837098,86,1.43887971978,1,69.4846171568,0
20220504,152,9,12.7568421053,5.448357,0,2000,0,1.16711770488,0,0.162133712079,0,0,0,0,69.5473371286,72.1602507559,62.4747759489,62.1130563413,0.887651400582,1,1,0.80462040787,0.226516290727,0.906065162907,3.97206212881,716.638854177,118.372895559,0.165177892419,0.800778919526,87,1.49690896779,1,79.6235830218,0
20220505,153,9,14.6583333333,5.6952855,0,2000,0,1.20542507759,0,0.171262868291,0,0,0,0,69.0747179909,71.8588944865,62.1734196795,61.8117000719,0.883062440763,1,1,0.779788520125,0.317063492063,1.26825396825,5.63246584624,722.271320023,134.869151404,0.186729207799,0.889351677318,88,1.59375413707,1,90.719797156,0
20220506,154,9,15.7958188153,5.002695,0,2000,0,1.03699907649,0,0.153257351895,0,0,0,0,68.6622108699,71.5996447173,61.9141699104,61.5524503028,0.879094919335,1,1,0.754956632379,0.371229467397,1.48491786959,5.60826419687,727.87958422,152.354881889,0.209313305651,0.749729717307,89,1.4147303768,1,102.481581865,0
20220507,155,9,16.4822299652,4.856868,0,2000,0,0.963644257589,0,0.149426247979,0,0,0,0,68.2718735575,71.3587336529,61.673258846,61.3115392384,0.875384684316,1,1,0.730124744633,0.403915712627,1.61566285051,5.72933355288,733.608917773,170.618929245,0.232574775349,0.837870664248,90,1.357897158,1,114.766901779,0
20220508,156,9,17.6832167832,5.363928,0,2000,0,1.04422453406,0,0.170716580543,0,0,0,0,67.8401008435,71.0976775194,61.4122027125,61.0504831049,0.871334880601,1,1,0.705292856887,0.461105561106,1.84442224442,6.97770776021,740.586625533,189.673079309,0.256111942573,0.855005144883,91,1.5214895428,1,127.583684644,0
20220509,157,9,17.7449477352,4.5305325,0,2000,0,0.936517523225,0,0.161903755598,0,0,0,0,67.4440677071,70.8635481386,61.1780733317,60.8163537241,0.867673476338,1,1,0.680460969141,0.464045130247,1.85618052099,5.72232711344,746.308952647,208.59612856,0.279503720035,1.2627049003,92,1.41259794105,1,140.312282487,0
20220510,158,9,16.5884057971,5.1595785,0,2000,0,0.952382551276,0,0.174451898941,0,0,0,0,67.0315201703,70.6254525008,60.9399776939,60.5782580863,0.863917361504,1,1,0.655629081395,0.408971704624,1.6358868185,5.53382838242,751.842781029,227.311620086,0.302339299946,1.07754105596,93,1.48895083309,1,152.90126653,0
20220511,159,9,15.0512195122,4.4043615,0,2000,0,0.731932652718,0,0.142267013146,0,0,0,0,66.706269994,70.4424693376,60.7569945307,60.3952749231,0.861003362618,1,1,0.630797193649,0.335772357724,1.34308943089,3.73145012998,755.574231159,244.992174199,0.324246333578,0.782548387114,94,1.18764066498,1,164.794099443,0
20220512,160,9,14.7714285714,4.291191,0,2000,0,0.578260801314,0,0.119417364886,0,0,0,0,66.4422874288,70.2979041373,60.6124293304,60.2507097228,0.858677768731,1,1,0.605965305903,0.322448979592,1.28979591837,3.35387292234,758.928104081,261.764636094,0.344913615251,0.511758593276,95,0.975227967754,1,176.076103705,0
