,FECHA,TMAXH(C),TMEDH(C),TMINH(C),HRMAXH(C),HRMEDH(C),HRMINH(C),LLUVIAH(MM),TMINF(C),TMEDF(C),TMAXF(C),RADF(W/M2),LLUVIAF(MM),T-TD(C),RADF(MJ/M2)
192,2020/07/12,19.5,9.8,3.5,68 ,46 ,26 ,0.51,,,,,,,
193,2020/07/13,16.5,7.1,1.0,82 ,58 ,34 ,0.51,,,,,,,
194,2020/07/14,16.6,7.9,0.1,80 ,55 ,39 ,0.51,,,,,,,
195,2020/07/15,16.3,8.8,2.5,95 ,62 ,38 ,0.51,,,,,,,
196,2020/07/16,23.3,16.7,9.8,70 ,44 ,24 ,0.51,,,,,,,
197,2020/07/17,17.0,9.9,4.0,99 ,89 ,70 ,0.51,,,,,,,
198,2020/07/18,17.9,13.5,10.8,99 ,99 ,99 ,0.51,,,,,,,
199,2020/07/19,15.2,13.7,12.2,99 ,99 ,99 ,0.51,,,,,,,
200,2020/07/20,14.5,11.8,10.1,99 ,99 ,98 ,0.51,,,,,,,
201,2020/07/21,14.8,12.5,11.0,99 ,99 ,97 ,0.51,,,,,,,
202,2020/07/22,15.5,12.4,10.3,99 ,89 ,74 ,0.51,,,,,,,
203,2020/07/23,11.1,7.9,5.0,86 ,83 ,68 ,0.51,,,,,,,
204,2020/07/24,19.4,6.4,2.6,95 ,63 ,29 ,0.0,,,,,,,
205,2020/07/25,19.0,9.1,0.3,89 ,50 ,24 ,0.0,,,,,,,
206,2020/07/26,19.3,11.4,3.6,87 ,54 ,32 ,0.25,,,,,,,
207,2020/07/27,19.3,10.9,4.2,78 ,49 ,28 ,0.25,,,,,,,
208,2020/07/28,18.5,8.3,0.5,66 ,46 ,21 ,0.0,,,,,,,
209,2020/07/29,16.7,7.3,1.5,67 ,46 ,26 ,0.0,,,,,,,
210,2020/07/30,16.3,7.9,1.6,78 ,53 ,37 ,0.0,,,,,,,
211,2020/07/31,22.9,10.8,0.8,92 ,55 ,26 ,0.0,,,,,,,
212,2020/08/01,25.9,15.2,0.0,88 ,70 ,0 ,0.0,,,,,,,
213,2020/08/02,26.5,18.4,11.8,99 ,79 ,60 ,0.0,,,,,,,
214,2020/08/03,30.6,21.0,13.3,94 ,73 ,48 ,0.0,,,,,,,
215,2020/08/04,30.4,22.7,15.2,75 ,62 ,53 ,0.0,,,,,,,
216,2020/08/05,34.8,24.2,15.7,80 ,63 ,52 ,0.0,,,,,,,
217,2020/08/06,17.8,15.2,10.8,74 ,47 ,33 ,0.0,,,,,,,
218,2020/08/07,17.4,11.5,7.8,83 ,67 ,52 ,0.0,,,,,,,
219,2020/08/08,22.8,15.4,10.7,95 ,79 ,59 ,0.0,,,,,,,
220,2020/08/09,25.9,16.3,0.0,99 ,81 ,0 ,0.0,,,,,,,
221,2020/08/10,20.3,14.5,0.0,85 ,60 ,0 ,0.0,,,,,,,
222,2020/08/11,18.7,9.7,1.8,50 ,24 ,0 ,0.0,,,,,,,
223,2020/08/12,17.8,8.7,3.6,56 ,31 ,0 ,0.0,,,,,,,
224,2020/08/17,26.3,18.8,0.0,0 ,0 ,0 ,0.0,,,,,,,
225,2020/08/18,27.5,14.5,3.8,84 ,23 ,0 ,0.0,,,,,,,
